id,name,cn,val,reference,color,collection
"""300103701410928188120231227LON""","""DONER""","""CNG1S22""","""51""","""16LONDONERCNG1S22LONDONERCLGCLARY""","""GRAYCNG1S22OR""","""24KBCA5116145CC55550S22DEGRADEC11"""
"""300103701410927754120231227LON""","""DONER""","""CNG2""","""51""","""16LONDONERCNG2LONDONERCLGCLARY""","""GRAYCNG2OR""","""ET"""
"""300103701410932628120231227LON""","""DONER""","""CNG2S1""","""51""","""16LONDONERCNG2S1LONDONERCLGCLARY""","""GRAYCNG2S1OR""","""ET"""
"""300103701410932635120231227LON""","""DONER""","""CNG4""","""51""","""16LONDONERCNG4LONDONERCLGCLARY""","""GRAYCNG4OR""","""ET"""
"""300103701410914426120231227LON""","""DONER""","""CNG4S2""","""51""","""16LONDONERCNG4S2LONDONERCLGCLARY""","""GRAYCNG4S2OR""","""ET"""
"""300103701410933502120240227LON""","""DONER""","""CNG1S18""","""51""","""16LONDONERCNG1S18LONDONERCLGCLARY""","""GRAYCNG1S18OR""","""24K"""
"""300103701410927471120240227LON""","""DONER""","""CNG28""","""51""","""16LONDONERCNG28LONDONERCLGCLARY""","""GRAYCNG28OR""","""18K"""
"""300103701410928171120240227LON""","""DONER""","""CNG28S15""","""51""","""16LONDONERCNG28S15LONDONERCLGCLARY""","""GRAYCNG28S15OR""","""18K"""
"""300103701410933519120240227LON""","""DONER""","""CNG29""","""51""","""16LONDONERCNG29LONDONERCLGCLARY""","""GRAYCNG29ARGENT""","""18KACA5116145CC50500"""
"""300103701410933526120240227LON""","""DONER""","""CNG29S19""","""51""","""16LONDONERCNG29S19LONDONERCLGCLARY""","""GRAYCNG29S19ARG""","""ENT"""
"""300103701410929192120231227LOU""","""ISVILLIAN""","""CNG1""","""56""","""17LOUISVILLIANCNG1LOUISVILLIANCLGCLARY""","""GRAYCNG1OR""","""24KAAA5617145CC505001"""
"""10300103701410929581120231227L""","""OUISVILLIAN""","""CNG16""","""56""","""17LOUISVILLIANCNG16LOUISVILLIANCLGCLARY""","""GRAYCNG16OR""","""24K"""
"""300103701410929185120231227LOU""","""ISVILLIAN""","""CNG6""","""56""","""17LOUISVILLIANCNG6LOUISVILLIANCLGCLARY""","""GRAYCNG6OR""","""ROSEAAA5617145CC505001"""
"""300103701410929178120231227LOU""","""ISVILLIAN""","""CNG61""","""56""","""17LOUISVILLIANCNG61LOUISVILLIANCLGCLARY""","""GRAYCNG61OR""","""24K"""
"""300103701410917731120231227LYO""","""NNAISE""","""CNG1S13""","""49""","""22LYONNAISECNG1S13LYONNAISECLGCLARY""","""GRAYCNG1S13OR""","""24KBAC4922140CC55550S13DEGRADEC11"""
"""300103701410917748120231227LYO""","""NNAISE""","""CNG1S14""","""49""","""22LYONNAISECNG1S14LYONNAISECLGCLARY""","""GRAYCNG1S14OR""","""24KBAC4922140CC55550S14DEGRADEC11"""
"""300103701410917724120231227LYO""","""NNAISE""","""CNG2S16""","""49""","""22LYONNAISECNG2S16LYONNAISECLGCLARY""","""GRAYCNG2S16ORBA""","""C4922140CC55550S16DEGRADEC11"""
"""300103701410917717120231227LYO""","""NNAISE""","""CNG2S6""","""49""","""22LYONNAISECNG2S6LYONNAISECLGCLARY""","""GRAYCNG2S6ORBAC""","""4922140CC55550S6DEGRADEC11"""
"""300103701410917762120231227LYO""","""NNAISE""","""CNG5S18""","""49""","""22LYONNAISECNG5S18LYONNAISECLGCLARY""","""GRAYCNG5S18OR""","""ROSEBAC4922140CC55550S18DEGRADEC11"""
"""300103701410917755120231227LYO""","""NNAISE""","""CNG5S23""","""49""","""22LYONNAISECNG5S23LYONNAISECLGCLARY""","""GRAYCNG5S23OR""","""ROSEBAC4922140CC55550S23DEGRADEC11"""
"""300103701410916963120231227MAD""","""RILENIAN""","""CNG10S17""","""50""","""22MADRILENIANCNG10S17MADRILENIANCLGCLARY""","""GRAYCNG10S17NOI""","""R"""
